Ensembl_ID	count	chromosome	start	end
ENSG00000251692	0.0	16	1485886	1488981
ENSG00000127241	794.0	3	187217285	187292022
ENSG00000120907	0.0	8	26748150	26867273
ENSG00000105879	1595.0	7	107743697	107761667
ENSG00000181915	1288.0	10	62804857	62808483
ENSG00000120903	0.0	8	27459761	27479883
ENSG00000175701	33.0	2	110211529	110245420
ENSG00000277058	0.0	1	13060869	13062229
ENSG00000173598	8576.7	12	93377883	93408146
ENSG00000105877	8.0	7	21543215	21901839
ENSG00000105875	605.0	7	135183839	135211534
ENSG00000135074	6911.0	5	157395534	157575775
ENSG00000135077	5.0	5	157085832	157142869
ENSG00000131023	3328.0	6	149658153	149718256
ENSG00000057294	20.0	12	32790745	32896840
ENSG00000116117	1991.0	2	204545793	205620162
ENSG00000131759	334.0	17	40309192	40357643
ENSG00000142279	1248.0	19	34481638	34512304
ENSG00000131089	972.0	X	63634967	63809274
ENSG00000146083	78.0	5	176526697	176538025
ENSG00000136250	0.0	7	36512949	36724549
ENSG00000186871	1073.0	X	72204657	72239047
ENSG00000149792	2950.0	11	65122183	65127371
ENSG00000149021	0.0	11	62405103	62423195
ENSG00000146085	1778.0	6	49430360	49463191
ENSG00000132591	1290.0	17	28854938	28861067
ENSG00000184292	0.0	1	58575423	58577773
ENSG00000102471	4922.0	13	79481124	79556075
ENSG00000149798	568.0	11	65314818	65322429
ENSG00000177700	2405.0	11	837356	842545
ENSG00000165997	7646.0	10	18659405	18681639
ENSG00000183054	4277.23	2	110513812	110577185
ENSG00000189058	0.0	3	195568702	195584205
ENSG00000177706	607.0	7	192969	260745
ENSG00000117215	0.0	1	20111939	20119566
ENSG00000203870	0.0	X	154823348	154834662
ENSG00000181562	0.0	14	20745892	20748380
ENSG00000205765	1671.0	5	41904188	41921636
ENSG00000203872	64.0	6	87344849	87365463
ENSG00000187961	171.0	1	960587	965715
ENSG00000187612	0.0	11	55913650	55914582
ENSG00000147687	761.0	8	124488485	124539458
ENSG00000147684	2290.0	8	124539103	124568510
ENSG00000125409	0.0	17	15303811	15341641
ENSG00000187969	0.0	X	74304190	74305031
ENSG00000188342	2281.0	13	45120515	45284909
ENSG00000188343	1648.0	8	93698561	93731527
ENSG00000281593	0.0	7	30362400	30412502
ENSG00000147174	77.0	X	71578411	71613583
ENSG00000166831	5.0	15	64739892	64775587
ENSG00000166833	1017.0	11	19350724	20121598
ENSG00000162849	185.0	1	245154985	245709431
ENSG00000114520	2849.0	3	125446644	125520197
ENSG00000166839	121.0	15	64911902	64958700
ENSG00000145198	0.0	3	184230429	184242329
ENSG00000149243	59.0	11	75422394	75430629
ENSG00000184702	831.66	22	19714464	19724772
ENSG00000145781	1359.0	5	116084991	116412762
ENSG00000169813	18603.0	10	43385617	43409166
ENSG00000259784	0.06	16	2513965	2527955
ENSG00000145192	0.0	3	186612923	186621318
ENSG00000069956	10766.0	15	51952106	52067372
ENSG00000145194	149.0	3	184249650	184293031
ENSG00000184708	1574.0	22	31436977	31496108
ENSG00000169814	641.0	3	15601341	15645822
ENSG00000163462	124.0	1	155173787	155184971
ENSG00000214114	1163.75	1	38862964	38874105
ENSG00000163464	0.0	2	218162845	218166995
ENSG00000163466	27850.0	2	218217094	218254356
ENSG00000163467	0.0	1	156337314	156346995
ENSG00000163468	33791.0	1	156308968	156367873
ENSG00000167741	0.0	17	4556927	4560818
ENSG00000141682	1477.0	18	59899948	59904306
ENSG00000048471	1915.0	16	11976737	12574289
ENSG00000105290	252.0	19	35867899	35879791
ENSG00000162599	360.0	1	60865259	61462793
ENSG00000162598	0.0	1	59987269	60073770
ENSG00000184349	181.0	5	107376889	107670895
ENSG00000109736	474.0	4	2930561	2934859
ENSG00000109738	294.0	4	157076057	157172090
ENSG00000066933	9747.0	15	71822289	72118577
ENSG00000172288	0.0	Y	25622162	25624902
ENSG00000172289	0.0	11	59712916	59713845
ENSG00000170379	501.91	7	143620950	143730409
ENSG00000029363	20786.02	6	136256627	136289851
ENSG00000162595	337.0	1	68045962	68051631
ENSG00000162594	0.0	1	67138907	67259979
ENSG00000185129	4541.0	5	140107777	140125619
ENSG00000118640	13.0	2	85561562	85582031
ENSG00000168488	437.0	16	28823035	28837237
ENSG00000186141	3335.0	1	145824088	145842505
ENSG00000182600	12.0	2	232857270	232878708
ENSG00000090776	1811.0	X	68828997	68842147
ENSG00000115073	2081.0	2	97655963	97664107
ENSG00000068354	574.0	X	48539457	48562609
ENSG00000259164	0.0	14	77098311	77225462
ENSG00000213853	2912.0	16	10528422	10580698
ENSG00000162415	4.0	1	45016399	45306209
ENSG00000213585	21608.0	5	133971915	134005133
ENSG00000138696	95.0	4	94757968	95158448
ENSG00000138347	2195.0	10	68106117	68212017
ENSG00000138346	1124.0	10	68414064	68472121
ENSG00000213588	461.36	6	33453970	33457548
ENSG00000213859	874.0	17	7351889	7354944
ENSG00000169032	4455.0	15	66386817	66492312
ENSG00000014216	4640.0	11	65180566	65212006
ENSG00000115596	0.0	2	218859821	218874233
ENSG00000184293	0.0	12	9715860	9733299
ENSG00000039068	0.0	16	68737225	68835548
ENSG00000156976	23193.93	3	186783205	186789900
ENSG00000175324	1719.0	8	38163321	38176730
ENSG00000070269	1229.0	14	56488354	56650606
ENSG00000186564	6.0	1	47436017	47440691
ENSG00000186566	1295.0	17	44395284	44503430
ENSG00000186567	22.0	19	44662278	44684359
ENSG00000186562	0.0	8	7821966	7823889
ENSG00000146555	274.0	7	3301448	4269000
ENSG00000146223	12415.51	6	42879618	42889925
ENSG00000146221	7.0	6	44278743	44297688
ENSG00000198723	0.0	19	7492976	7508450
ENSG00000060709	0.0	12	130396137	130517917
ENSG00000155465	63.0	14	22773222	22829820
ENSG00000051009	481.0	11	6211335	6234711
ENSG00000133318	3367.95	11	63681446	63759891
ENSG00000133317	0.0	11	63506084	63516774
ENSG00000055070	7869.0	1	16352575	16398145
ENSG00000141026	549.0	17	17476986	17493226
ENSG00000141027	12175.0	17	16029157	16218185
ENSG00000133313	2682.0	18	74495816	74523454
ENSG00000137343	124.0	6	30626842	30646823
ENSG00000172867	0.0	12	52644558	52652164
ENSG00000155719	0.45	16	21678514	21760729
ENSG00000198894	1700.0	14	77098097	77117287
ENSG00000198892	331.0	1	201888680	201892306
ENSG00000198890	1333.0	1	107056679	107059294
ENSG00000162337	1808.0	11	68312609	68449275
ENSG00000198874	2510.3	7	66995173	67239519
ENSG00000066427	1959.16	14	92038652	92106621
ENSG00000145416	15.0	4	163524298	164384050
ENSG00000066422	4552.0	3	101648889	101677495
ENSG00000198898	15150.0	7	116811070	116922049
ENSG00000282815	0.0	X	125320120	125325214
ENSG00000182013	88.0	19	46466491	46471563
ENSG00000157578	19.0	21	39405844	39445805
ENSG00000130962	1837.68	X	37349275	37457295
ENSG00000187105	0.0	14	73478484	73558947
ENSG00000186073	1491.0	15	36579611	36810248
ENSG00000108064	2196.0	10	58385022	58399221
ENSG00000157570	5.0	11	44726465	44932421
ENSG00000108061	5514.0	10	110919547	111013667
ENSG00000075388	0.0	11	69771016	69775403
ENSG00000165879	66.0	10	97319267	97321915
ENSG00000204179	1.0	10	46911396	47002488
ENSG00000067082	8065.0	10	3775996	3785281
ENSG00000204174	36.67	10	46461099	46465881
ENSG00000204175	1.0	10	46549044	46555530
ENSG00000204176	41.35	10	46578217	46594173
ENSG00000204172	176.31	10	47501854	47523638
ENSG00000124067	3776.0	16	67943474	67969601
ENSG00000121621	3502.0	11	28020620	28108308
ENSG00000181938	313.0	16	58295080	58406144
ENSG00000181939	0.0	11	55554307	55555419
ENSG00000142449	0.0	19	8065402	8149846
ENSG00000174428	692.72	7	75092573	75149817
ENSG00000174429	1.0	8	106759483	106770245
ENSG00000178372	0.0	10	5498697	5499555
ENSG00000164651	0.0	7	20782283	20786886
ENSG00000181284	71.0	17	7435443	7437679
ENSG00000179213	0.0	19	51246348	51269330
ENSG00000164654	2717.0	7	7566872	7608929
ENSG00000114978	14328.0	2	74152528	74178898
ENSG00000169740	581.0	10	43643859	43648856
ENSG00000206113	0.0	4	2418974	2462942
ENSG00000197563	3675.0	18	61905255	62187118
ENSG00000105472	710.0	19	50723329	50725718
ENSG00000161021	862.0	5	179732850	179777286
ENSG00000256436	205.18	12	11030387	11031407
ENSG00000164694	1.0	6	159169397	159272109
ENSG00000259332	18.72	15	79845150	79923754
ENSG00000100065	653.0	22	37490362	37519542
ENSG00000132382	2530.0	17	4538897	4555631
ENSG00000270316	14.94	10	102854272	102901899
ENSG00000140612	6317.0	15	84669538	84716716
ENSG00000073464	780.0	X	10156945	10237660
ENSG00000101977	6.0	X	139581770	139708227
ENSG00000101974	9863.0	X	139726346	139945276
ENSG00000101972	15727.0	X	123960212	124422664
ENSG00000227234	0.0	X	141002591	141003706
ENSG00000269405	0.0	X	102247161	102326719
ENSG00000269404	0.0	19	50418938	50431313
ENSG00000257341	0.01	14	105487199	105492267
ENSG00000007516	16.0	16	1333601	1349441
ENSG00000162852	5079.0	1	246566444	246668584
ENSG00000269403	5.1	19	51350373	51368099
ENSG00000072736	2139.55	16	68084751	68229259
ENSG00000261603	0.0	3	46719583	46736429
ENSG00000100060	0.0	22	37469063	37486401
ENSG00000077420	0.0	10	26438203	26567803
ENSG00000116574	114.0	1	228735077	228746669
ENSG00000130349	174.0	6	107028213	107051342
ENSG00000180008	4253.0	14	55027230	55049488
ENSG00000125648	393.0	19	6436079	6465203
ENSG00000119509	2106.0	9	100099256	100301000
ENSG00000272804	0.0	21	44600597	44602174
ENSG00000005001	0.0	16	2852727	2858170
ENSG00000180884	464.0	19	34956354	34964049
ENSG00000180881	107.0	12	75275979	75390928
ENSG00000130347	545.0	6	106571971	106629487
ENSG00000099949	1962.0	22	20979462	20999038
ENSG00000165309	0.0	10	22928024	23038523
ENSG00000177565	23796.0	3	177019340	177228000
ENSG00000189253	0.0	11	89869282	89876017
ENSG00000151012	11205.0	4	138164097	138242349
ENSG00000107560	1676.0	10	118004916	118046603
ENSG00000151014	1712.0	4	139015789	139045939
ENSG00000107566	2445.0	10	100150094	100188334
ENSG00000165300	29.0	13	87672615	87696272
ENSG00000141858	277.0	19	14087840	14091036
ENSG00000145850	0.0	5	156919282	156963255
ENSG00000101608	22138.0	18	3247481	3256236
ENSG00000196539	0.0	1	248473351	248474307
ENSG00000042062	38.0	20	50586108	50691528
ENSG00000174137	47.0	4	1617915	1684302
ENSG00000121335	0.0	12	11391540	11501041
ENSG00000174132	171.0	5	100535305	100586741
ENSG00000170801	80.0	4	8269765	8307111
ENSG00000174130	642.0	4	38823715	38856817
ENSG00000196531	21905.0	12	56712428	56731628
ENSG00000198791	8963.0	8	17224964	17246878
ENSG00000198792	741.0	22	38219291	38273034
ENSG00000155304	8564.0	21	14371115	14383484
ENSG00000198794	15.0	15	74957219	75021496
ENSG00000168298	4221.0	6	26156354	26157107
ENSG00000197779	988.0	X	47836902	48002561
ENSG00000189252	0.0	X	143508735	143517475
ENSG00000197953	0.0	3	151733916	151761339
ENSG00000197776	92.0	14	49693105	49753152
ENSG00000197951	903.0	19	56595264	56626481
ENSG00000197774	177.0	16	1773207	1781708
ENSG00000197956	6553.0	1	153534599	153536244
ENSG00000197771	5857.0	10	119829404	119892556
ENSG00000145384	0.0	4	119317250	119322390
ENSG00000161682	282.0	17	44353215	44363875
ENSG00000128283	372.0	22	37560447	37569405
ENSG00000161681	211.0	19	50661827	50719450
ENSG00000103260	371.0	16	715115	719655
ENSG00000134291	1848.0	12	47963569	47968878
ENSG00000113430	0.0	5	1877413	1887236
ENSG00000085978	2395.0	2	233210051	233295674
ENSG00000140319	5231.0	15	40035739	40039188
ENSG00000012817	0.0	Y	19703865	19744939
ENSG00000169248	3.0	4	76033682	76041415
ENSG00000169249	207.63	X	15790472	15823260
ENSG00000169246	239.14	16	21402237	21448567
ENSG00000169247	840.0	5	148923639	149063163
ENSG00000169245	9.0	4	76021117	76023497
ENSG00000169242	16.0	1	155127460	155134857
ENSG00000169241	418.0	1	155135344	155138857
ENSG00000089048	441.0	20	13714322	13784886
ENSG00000183864	2404.76	22	41433492	41447023
ENSG00000183862	0.0	X	151738451	151745304
ENSG00000089041	12.0	12	121132819	121188032
ENSG00000051523	1600.0	16	88643283	88651152
ENSG00000168291	3657.0	3	58427630	58433857
ENSG00000166484	252.0	17	19377721	19383544
ENSG00000162522	165.0	1	32741885	32774970
ENSG00000124216	37.0	20	49982999	49988886
ENSG00000124217	1845.0	20	50958826	50963931
ENSG00000124214	4374.0	20	49113339	49188367
ENSG00000189283	0.0	3	59749310	61251459
ENSG00000124212	192.0	20	49503874	49568146
ENSG00000247596	4525.75	3	52228610	52239260
ENSG00000247595	0.0	11	18588781	18610255
ENSG00000013364	17914.0	16	29820394	29848039
ENSG00000111341	24.0	12	14881181	14885926
ENSG00000000005	0.0	X	100584802	100599885
ENSG00000111344	0.0	12	113098819	113136239
ENSG00000185272	6.0	21	14216130	14228372
ENSG00000173905	9846.0	3	168008677	168095975
ENSG00000161970	41242.77	17	8377520	8383213
ENSG00000117228	7648.0	1	89052319	89065360
ENSG00000135447	0.0	12	54575387	54588659
ENSG00000135446	6801.0	12	57747727	57756013
ENSG00000135441	1414.12	12	55716037	55720087
ENSG00000135443	0.0	12	52360006	52367481
ENSG00000082014	1534.0	7	151238764	151277896
ENSG00000255275	15.15	1	18849273	18921121
ENSG00000255274	0.0	11	118003634	118088299
ENSG00000117222	3769.0	1	205086142	205122015
ENSG00000185133	29.0	22	31122731	31134696
ENSG00000185130	6492.84	6	27807444	27807931
ENSG00000117226	2683.0	1	89006666	89022894
ENSG00000118058	3823.0	11	118436490	118526832
ENSG00000229549	0.0	Y	9357797	9360599
ENSG00000152270	124.0	11	14643723	14872044
ENSG00000229544	0.0	10	124445239	124450184
ENSG00000138604	5330.0	15	69160584	69272217
ENSG00000169020	90.0	4	672436	674338
ENSG00000169021	4280.28	19	29205321	29213541
ENSG00000160087	860.0	1	1253909	1273885
ENSG00000036054	8728.0	3	100261000	100325251
ENSG00000213204	2.3	6	87408012	87511634
ENSG00000175352	5007.0	11	8980576	9004049
ENSG00000156052	6909.0	9	77716087	78031458
ENSG00000213203	0.0	7	150716557	150724284
ENSG00000102119	310.0	X	154379197	154381523
ENSG00000105464	5.0	19	48394875	48444931
ENSG00000095110	0.0	11	114521715	114559895
ENSG00000105467	0.0	19	48364395	48376376
ENSG00000101850	2.0	X	9725346	9786297
ENSG00000002587	0.0	4	11393150	11429765
ENSG00000104907	1300.0	19	13104902	13117567
ENSG00000048649	4359.0	11	77659996	77821017
ENSG00000173821	11513.36	17	80260866	80398786
ENSG00000150873	1.0	2	11133053	11146790
ENSG00000118418	414.0	6	79201245	79234738
ENSG00000118412	3301.0	6	89829894	89874436
ENSG00000174348	59.0	1	53062052	53085502
ENSG00000101997	355.0	X	49235467	49250526
ENSG00000160882	0.0	8	142872356	142879846
ENSG00000196597	313.0	9	96816472	96875623
ENSG00000160886	279.0	8	142700111	142705127
ENSG00000110169	8.0	11	6431049	6442617
ENSG00000130768	2.0	1	27934993	27959157
ENSG00000186448	1773.0	3	44584888	44648471
ENSG00000160888	1112.0	19	13150415	13154908
ENSG00000146910	0.0	7	155474206	155555450
ENSG00000106384	0.0	7	101195007	101201021
ENSG00000102802	26.0	13	30906191	30925572
ENSG00000143858	3.0	1	202590596	202710417
ENSG00000198538	1762.97	19	52797409	52857600
ENSG00000143669	1999.0	1	235661041	235883640
ENSG00000102805	1531.0	13	76990660	77019143
ENSG00000156096	0.0	4	69480165	69526014
ENSG00000198242	11570.74	17	28719393	28724359
ENSG00000135070	1401.79	9	86264546	86283102
ENSG00000065621	338.0	10	104268873	104304945
ENSG00000198246	51.0	10	71319258	71363385
ENSG00000134061	1.0	5	67179613	67196799
ENSG00000143847	234.0	1	203026498	203078740
ENSG00000109381	2565.0	4	139028112	139177218
ENSG00000147548	4811.0	8	38269697	38382272
ENSG00000177932	1233.0	5	179060415	179083537
ENSG00000272617	4.15	16	69326913	69339667
ENSG00000188089	0.0	15	41981582	42051190
ENSG00000014914	117.0	1	149928651	149936869
ENSG00000105607	732.0	19	12891026	12914207
ENSG00000014919	3141.0	10	99711844	99732100
ENSG00000105609	0.0	19	54249431	54257301
ENSG00000034693	890.0	6	143450807	143490010
ENSG00000244242	15.0	11	1732410	1750591
ENSG00000181264	889.0	11	120325129	120333682
ENSG00000135919	1322.0	2	223975112	224039319
ENSG00000176595	23.0	8	1973878	2006936
ENSG00000176396	306.0	19	39538705	39540333
ENSG00000164105	372.0	4	173369969	173377532
ENSG00000054267	3178.45	1	235131634	235328219
ENSG00000176393	2393.0	1	201982372	202006147
ENSG00000176399	6.0	9	22446841	22455740
ENSG00000064932	1666.0	19	1107636	1174283
ENSG00000064933	1386.0	2	189784085	189877629
ENSG00000215183	0.0	9	35752990	35756613
ENSG00000136935	1306.65	9	124878357	124948492
ENSG00000136936	163.0	9	97674909	97697357
ENSG00000143850	1103.0	1	204218851	204377665
ENSG00000215187	3.0	9	35561831	35563899
ENSG00000083635	277.0	13	44939249	44989483
ENSG00000132693	0.0	1	159712289	159714589
ENSG00000132692	0.0	1	156641390	156659532
ENSG00000181704	3847.0	X	68498323	68537285
ENSG00000136938	356.0	9	97983361	98015943
ENSG00000132698	0.0	1	156061160	156070514
ENSG00000198522	2727.96	2	27628247	27651508
ENSG00000157911	1129.0	1	2403964	2413797
ENSG00000162517	3903.0	1	31629862	31644896
ENSG00000189139	0.0	14	44504342	44507279
ENSG00000102878	6.77	16	67164681	67169945
ENSG00000163673	0.0	3	36712422	36764349
ENSG00000189132	0.0	X	34942796	34944915
ENSG00000144802	2314.0	3	101827991	101861022
ENSG00000069018	0.0	5	136213320	136365537
ENSG00000168374	12999.0	3	57571363	57598220
ENSG00000189134	36.0	6	28259320	28260958
ENSG00000167535	683.0	12	48813794	48828941
ENSG00000241058	693.0	10	18545561	18659285
ENSG00000162105	113.0	11	70467856	71252577
ENSG00000268439	800.57	12	6970921	6997428
ENSG00000188886	0.0	2	96123850	96138436
ENSG00000267699	27.38	18	50968019	51058144
ENSG00000182240	1119.0	21	41167801	41282518
ENSG00000166483	4570.0	11	9573681	9593457
ENSG00000105612	353.0	19	12875211	12881468
ENSG00000244020	0.0	1	237004103	237004418
ENSG00000268434	0.04	19	45779437	45785973
ENSG00000108654	14534.0	17	64499616	64508199
ENSG00000128652	0.0	2	176136612	176173102
ENSG00000003989	8154.0	8	17497088	17570573
ENSG00000186951	798.0	22	46150521	46243756
ENSG00000094796	0.0	17	41393724	41397592
ENSG00000186952	19.0	5	110289233	110738956
ENSG00000215455	0.0	21	44538981	44540195
ENSG00000135298	1.0	6	68635367	69389511
ENSG00000157388	3.0	3	53328963	53813733
ENSG00000003987	6.0	8	17298030	17413528
ENSG00000159784	311.0	7	143353400	143362770
ENSG00000115268	5597.98	19	1438358	1440494
ENSG00000196396	4763.0	20	50510321	50585241
ENSG00000237289	0.0	15	43593054	43604901
ENSG00000204767	1618.0	5	169864264	169980740
ENSG00000171703	234.0	20	64049836	64072347
ENSG00000115263	0.0	2	162142873	162152404
ENSG00000119231	8499.0	3	196867856	196934714
ENSG00000244355	0.0	6	31715356	31717804
ENSG00000099308	194.0	19	18097793	18151692
ENSG00000115267	183.0	2	162267079	162318703
ENSG00000171700	315.0	20	64073181	64079988
ENSG00000197734	0.0	14	77760830	77769742
ENSG00000100600	961.0	14	92703807	92748702
ENSG00000128654	969.0	2	176269395	176338025
ENSG00000047849	13463.0	3	47850690	48089272
ENSG00000116984	7572.0	1	236795281	236903981
ENSG00000151881	802.0	5	43444252	43483893
ENSG00000044115	42458.0	5	138610967	138935034
ENSG00000074621	515.0	15	65611366	65660995
ENSG00000212864	0.0	9	137220247	137221581
ENSG00000255863	0.0	12	48921963	48939663
ENSG00000161558	60.0	19	48332356	48364237
ENSG00000108389	6032.0	17	58489529	58517905
ENSG00000108387	9.0	17	58520250	58540818
ENSG00000108384	746.0	17	58692573	58735611
ENSG00000171873	12.0	20	4220631	4249074
ENSG00000120057	0.0	10	97766751	97771952
ENSG00000101457	587.0	20	45791937	45811427
ENSG00000147571	7.0	8	66176382	66178725
ENSG00000221818	0.0	8	25841730	26045397
ENSG00000165689	846.0	9	136401922	136410609
ENSG00000108474	380.0	17	16217191	16351797
ENSG00000165682	0.0	12	9985642	10013424
ENSG00000108479	685.0	17	75751594	75765711
ENSG00000166341	575.0	11	6621323	6655854
ENSG00000141741	452.0	17	39728496	39730787
ENSG00000151834	108.0	4	46248427	46475230
ENSG00000165685	115.0	12	10170542	10191801
ENSG00000158008	67.0	1	26019884	26036464
ENSG00000177042	179.0	11	695428	705028
ENSG00000256950	6.59	12	121888809	121921470
ENSG00000153064	16.0	4	101411286	102074812
ENSG00000177047	0.0	9	21140214	21142145
ENSG00000129566	1351.0	14	20365667	20413429
ENSG00000177045	88.0	19	45764785	45769226
ENSG00000153060	0.0	16	10627501	10694945
ENSG00000142867	2934.0	1	85266248	85277090
ENSG00000071677	0.0	2	237566574	237567175
ENSG00000169991	1476.23	1	18904281	18956686
ENSG00000183260	0.0	20	63861498	63862988
ENSG00000158006	1046.0	1	25959767	25998157
ENSG00000171476	44.0	4	56647988	56681899
ENSG00000138750	3870.0	4	76114659	76148515
ENSG00000141232	363.0	17	50862223	50867978
ENSG00000138756	4934.0	4	78776342	78916372
ENSG00000138757	24244.0	4	75642782	75724525
ENSG00000277556	0.0	9	104598457	104599413
ENSG00000138755	0.0	4	76001275	76007488
ENSG00000172673	4.0	6	127708072	127918631
ENSG00000244255	3.69	6	31927698	31952048
ENSG00000138758	82321.0	4	76949703	77040384
ENSG00000161551	218.0	19	51804816	51890950
ENSG00000127824	765.0	2	219249711	219278170
ENSG00000180071	0.0	9	38571358	38620660
ENSG00000102743	674.0	13	40789412	40810111
ENSG00000173818	321.0	17	80415165	80438086
ENSG00000139800	0.0	13	99962964	99971909
ENSG00000279068	0.0	5	141182409	141188582
ENSG00000255359	0.0	11	22846931	22860426
ENSG00000173812	5299.0	17	41688885	41692668
ENSG00000177707	17749.0	3	111070071	111275563
ENSG00000023892	134.0	6	35297852	35321771
ENSG00000154258	1.0	17	68974488	69061064
ENSG00000136750	0.0	10	26216307	26304558
ENSG00000185736	0.0	10	1177318	1737476
ENSG00000185737	0.0	10	81875314	82987179
ENSG00000185730	74.0	8	143289676	143298061
ENSG00000115488	0.0	2	233032672	233035057
ENSG00000136758	13110.0	10	27110112	27155266
ENSG00000115486	2889.0	2	85544723	85561547
ENSG00000091436	16855.0	2	173075435	173268010
ENSG00000115484	17288.0	2	61868089	61888804
ENSG00000139233	1382.98	12	66116555	66130768
ENSG00000129625	4868.0	5	112876379	112922539
ENSG00000180974	0.0	11	5880629	5887079
ENSG00000103005	497.0	16	57999546	58021618
ENSG00000196235	7023.0	19	39436156	39476670
ENSG00000122034	4710.0	13	27424544	27435823
ENSG00000196236	1499.0	22	40857077	40932815
ENSG00000010327	0.0	3	52495338	52524495
ENSG00000196233	4714.0	10	96832282	96995959
ENSG00000090097	2725.0	3	51957454	51974016
ENSG00000214324	0.0	3	127193131	127198185
ENSG00000213445	1049.0	11	65638097	65650930
ENSG00000173540	2144.11	3	49716844	49723951
ENSG00000172497	1.0	5	81330005	81394179
ENSG00000116014	0.0	19	917287	921015
ENSG00000116017	793.0	19	925781	975934
ENSG00000173237	0.0	11	66975277	66977004
ENSG00000172493	3082.0	4	86935002	87141054
ENSG00000205495	0.0	11	5046526	5047461
ENSG00000205496	0.0	11	4954772	4955713
ENSG00000205497	0.0	11	4942831	4947605
ENSG00000173546	4005.98	15	75674322	75712848
ENSG00000112062	5504.0	6	36027677	36111236
ENSG00000187398	263.0	11	24496970	25082631
ENSG00000137806	900.0	15	41387349	41402519
ENSG00000173726	14057.0	1	235109336	235128936
ENSG00000011451	138.0	19	15419980	15449951
ENSG00000186047	0.0	13	50711008	50843939
ENSG00000157216	432.82	1	54225432	54413479
ENSG00000011454	4473.43	9	122940833	123104866
ENSG00000254737	0.0	11	124012997	124018732
ENSG00000186049	0.0	12	52607570	52618559
ENSG00000122033	1094.0	13	27435643	27450591
ENSG00000254732	0.0	11	57742163	57793243
ENSG00000173728	0.0	1	244352635	244389663
ENSG00000119906	5435.0	10	100912569	100965136
ENSG00000187242	0.0	17	40861303	40867210
ENSG00000146776	243.0	7	105605067	105876604
ENSG00000181031	22.0	17	212389	386254
ENSG00000111540	5447.0	12	55973913	55996683
ENSG00000129194	4.0	17	7588178	7590170
ENSG00000172324	0.0	11	59416969	59426412
ENSG00000187735	7809.78	8	53966552	54022529
ENSG00000183671	128.0	2	206175316	206218047
ENSG00000121690	436.0	11	33015864	33033582
ENSG00000143314	1244.0	1	156737303	156741590
ENSG00000185909	570.0	3	49171611	49176486
ENSG00000250349	0.0	X	37349330	38687674
ENSG00000148450	523.0	10	23095506	23122013
ENSG00000180938	30.0	8	124973298	124979389
ENSG00000076662	316.0	19	10333776	10339823
ENSG00000147689	0.0	8	123178960	123210079
ENSG00000170471	7016.0	20	38472816	38578861
ENSG00000128284	68.0	22	36140330	36166177
ENSG00000172320	0.0	11	59436469	59451380
ENSG00000116903	2478.0	1	231332753	231337852
ENSG00000104154	1542.0	15	45479611	45522807
ENSG00000112280	0.0	6	70215061	70303083
ENSG00000116906	3182.0	1	231241207	231277973
ENSG00000112282	5799.0	6	131573966	131628229
ENSG00000009790	2.0	1	209756032	209782320
ENSG00000174990	0.0	16	87881546	87936529
